file,base_4.2.1_exit,head_exit
examples/lang_comp/10-closures/04_higher_order_functions.ruchy,0,0
examples/lang_comp/11-ranges/02_range_iteration.ruchy,0,0
examples/lang_comp/11-ranges/04_range_patterns.ruchy,0,0
examples/lang_comp/11-ranges/03_range_variables.ruchy,0,0
examples/lang_comp/12-error-handling/03_try_catch.ruchy,0,0
examples/lang_comp/12-error-handling/01_result_type.ruchy,0,0
examples/lang_comp/13-tuples/01_basic_tuples.ruchy,0,0
examples/lang_comp/13-tuples/02_tuple_destructuring.ruchy,0,0
examples/lang_comp/12-error-handling/02_option_type.ruchy,0,0
examples/lang_comp/12-error-handling/04_error_propagation.ruchy,0,0
examples/lang_comp/13-tuples/03_tuple_functions.ruchy,0,0
examples/lang_comp/13-tuples/04_nested_tuples.ruchy,0,0
examples/lang_comp/14-structs/01_basic_structs.ruchy,0,0
examples/lang_comp/14-structs/02_struct_methods.ruchy,0,0
examples/lang_comp/15-enums/01_basic_enums.ruchy,0,0
examples/lang_comp/14-structs/03_tuple_structs.ruchy,0,0
examples/lang_comp/15-enums/02_enum_matching.ruchy,0,0
examples/lang_comp/15-enums/03_enum_with_data.ruchy,0,0
examples/lang_comp/15-enums/04_enum_discriminants.ruchy,0,0
examples/lang_comp/15-enums/04_enum_mixed.ruchy,0,0
examples/marco_polo_advanced.ruchy,1,1
examples/marco_polo_complete.ruchy,0,0
examples/math_test.ruchy,0,0
examples/marco_polo.ruchy,0,0
examples/method_calls.ruchy,0,0
examples/parse_json_demo.ruchy,1,1
examples/property_test_demo.ruchy,1,1
examples/quicksort.ruchy,0,0
examples/repl_demo.ruchy,0,0
examples/self_hosting/lexer.ruchy,1,1
examples/result_type.ruchy,0,0
examples/self_hosting/simple_lexer.ruchy,0,0
examples/simple_actor.ruchy,0,0
examples/test_arithmetic.ruchy,0,0
examples/showcase.ruchy,0,0
examples/stateful_actor.ruchy,0,0
examples/test_blocks.ruchy,0,0
examples/test_error_handling.ruchy,0,0
examples/test_functions.ruchy,0,0
examples/test_collections.ruchy,0,0
examples/test_loops.ruchy,0,0
examples/test_operators.ruchy,0,0
examples/test_pipeline.ruchy,0,0
examples/test_pattern_matching.ruchy,0,0
examples/test_strings.ruchy,0,0
examples/titanic_dataframe.ruchy,0,0
examples/wasm_basic.ruchy,0,0
examples/type_inference.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci_basic.ruchy,0,0
../rosetta-ruchy/examples/advanced-ai/001-deep-learning/implementations/ruchy/test_minimal.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/debug.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/test_iterative.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/build_simple.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/examples/algorithms/021-counting-sort/implementations/ruchy/counting_sort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/examples/algorithms/004-binary-search/implementations/ruchy/binary_search_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/test_each.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci_v18.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci_complete.ruchy,0,0
../rosetta-ruchy/algorithms_v1.20.0/fibonacci_proven.ruchy,1,1
../rosetta-ruchy/algorithms_v1.20.0/fibonacci_proven_v2.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/test_mut.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci_final.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/examples/algorithms/022-selection-sort/implementations/ruchy/selection_sort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/examples/algorithms/003-mergesort/implementations/ruchy/mergesort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci_simple.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/quicksort_fixed.ruchy,0,0
../rosetta-ruchy/examples/advanced-ai/001-deep-learning/implementations/ruchy/benchmark.ruchy,0,0
../rosetta-ruchy/examples/algorithms/001-fibonacci/implementations/ruchy/fibonacci_v189.ruchy,0,0
../rosetta-ruchy/examples/advanced-ai/001-deep-learning/implementations/ruchy/test_simple.ruchy,0,0
../rosetta-ruchy/examples/advanced-ai/001-deep-learning/implementations/ruchy/test_deep_learning_enhanced.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/quicksort_simple.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/quicksort_v18.ruchy,0,0
../rosetta-ruchy/examples/algorithms/003-mergesort/implementations/ruchy/mergesort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/002-quicksort/implementations/ruchy/quicksort_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/demo_self_hosting.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/binary_search_final_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/simple_test.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/binary_search_coverage_simple_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/test_ruchy.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/test_simple.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/working_test.ruchy,0,0
../rosetta-ruchy/examples/algorithms/005-hash-table/hash_table_final_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/005-hash-table/hash_table_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/006-red-black-tree/red_black_tree_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/008-longest-common-subsequence/lcs_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/test_binary_search_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/005-hash-table/hash_table_100_coverage_v1_27_10_original.ruchy,0,0
../rosetta-ruchy/examples/algorithms/004-binary-search/implementations/ruchy/binary_search_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/005-hash-table/implementations/ruchy/hash_table_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/005-hash-table/implementations/ruchy/hash_table_v184.ruchy,0,0
../rosetta-ruchy/examples/algorithms/006-red-black-tree/implementations/ruchy/tree_structure_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/009-knapsack-problem/knapsack_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/010-edit-distance/edit_distance_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/008-longest-common-subsequence/implementations/ruchy/lcs_v187.ruchy,0,0
../rosetta-ruchy/examples/algorithms/007-dijkstra/implementations/ruchy/dijkstra_v362.ruchy,0,0
../rosetta-ruchy/examples/algorithms/011-matrix-chain-multiplication/matrix_chain_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/012-coin-change/coin_change_100_coverage_v1_27_10.ruchy,0,0
../rosetta-ruchy/examples/algorithms/008-longest-common-subsequence/implementations/ruchy/lcs_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/009-knapsack-problem/implementations/ruchy/knapsack_v189.ruchy,0,0
../rosetta-ruchy/examples/algorithms/009-knapsack-problem/implementations/ruchy/knapsack_v188.ruchy,0,0
../rosetta-ruchy/examples/algorithms/011-matrix-chain-multiplication/implementations/ruchy/matrix_chain_v190.ruchy,0,0
../rosetta-ruchy/examples/algorithms/011-matrix-chain-multiplication/implementations/ruchy/matrix_chain_v189.ruchy,0,0
